45161
Date/Time (UTC),Wind_Speed (kts),Wind_Gust (kts),Wind_from_Direction (degrees_true),Water_Temperature_at_Surface (fahrenheit),Significant_Wave_Height (ft),Significant_Wave_Period (s),significant_wave_from_direction (degrees_true),Air_Temperature (fahrenheit),Air_Pressure (mb),Thermistor_String_at_1m (fahrenheit),Thermistor_String_at_22m (fahrenheit)
10/15/2020 18:00:00,16.93473408,20.0021136,-9999.0,59.5616,5.249344,4.59,311.97,50.6138,1011.545,59.558,-17966.2
10/15/2020 18:20:00,16.703028352,22.592863552,-9999.0,59.5436,4.7900264,4.25,314.47,50.7254,1011.413,59.54,-17966.2
10/15/2020 18:40:00,16.182662384,19.887815808,-9999.0,59.5526,4.429134,4.29,309.78,50.7668,1011.595,59.558,-17966.2
10/15/2020 19:00:00,16.433028976,20.878396672,-9999.0,59.5544,4.7900264,4.58,312.2,50.6156,1011.78,59.558,-17966.2
10/15/2020 19:20:00,16.300459088,21.259389312,-9999.0,59.567,4.2979004,4.19,309.7,50.8892,1011.947,59.558,-17966.2
10/15/2020 19:40:00,17.341385408,21.449885632,-9999.0,59.5526,4.1994752,4.15,316.24,51.1106,1012.153,59.558,-17966.2
10/15/2020 20:00:00,17.923371104,22.707161344,-9999.0,59.5544,4.5275592,4.03,310.26,51.3662,1012.447,59.558,-17966.2
10/15/2020 20:20:00,16.634216416,20.078312128,-9999.0,59.5688,4.10105,4.16,312.44,51.2528,1012.967,59.576,-17966.2
10/15/2020 20:40:00,15.525644464,19.202029056,-9999.0,59.567,3.937008,3.96,305.76,51.1754,1013.288,59.558,-17966.2
10/15/2020 21:00:00,16.901300032,20.611701824,-9999.0,59.5598,3.772966,3.91,309.69,51.2834,1013.47,59.558,-17966.2
10/15/2020 21:20:00,16.163612752,21.068892992,-9999.0,59.5616,3.8713912,3.91,304.2,51.3752,1013.81,59.558,-17966.2
10/15/2020 21:40:00,19.146629616,23.05005472,-9999.0,59.5418,3.7073492,3.95,311.58,49.7876,1014.067,59.54,-17966.2
10/15/2020 22:00:00,18.224083152,23.62154368,-9999.0,59.5508,4.0026248,3.9,313.78,49.7516,1014.51,59.558,-17966.2
10/15/2020 22:20:00,17.589225008,24.650223808,-9999.0,59.549,4.2322836,4.1,317.9,49.2296,1014.81,59.54,-17966.2
10/15/2020 22:40:00,18.98451336,23.888238528,-9999.0,59.5166,4.10105,4.1,314.69,48.9164,1015.09,59.522,-17966.2
10/15/2020 23:00:00,17.905876544,21.373687104,-9999.0,59.5256,4.1666668,4.08,316.78,48.8372,1015.375,59.522,-17966.2
10/15/2020 23:20:00,17.455100048,23.24055104,-9999.0,59.4626,4.265092,4.07,314.12,48.839,1015.62,59.468,-17966.2
10/16/2020 00:00:00,16.970500736,21.33558784,-9999.0,59.396,4.265092,4.23,314.83,49.0802,1016.255,59.396,-17966.2
10/16/2020 00:20:00,17.543350384,21.564183424,-9999.0,59.3384,4.3963256,4.13,316.95,49.3034,1016.505,59.342,-17966.2
10/16/2020 00:40:00,17.078189472,21.983275328,-9999.0,59.3024,4.4619424,4.39,315.12,49.5158,1016.635,59.306,-17966.2
10/16/2020 01:00:00,18.24099456,22.707161344,-9999.0,59.2664,4.0026248,3.97,313.25,49.559,1016.875,59.27,-17966.2
10/16/2020 01:20:00,17.976243552,22.249970176,-9999.0,59.2196,4.593176,4.19,313.94,49.6346,1017.013,59.216,-17966.2
10/16/2020 01:40:00,18.038446432,21.754679744,-9999.0,59.2034,4.3307088,4.04,315.01,49.8362,1017.112,59.198,-17966.2
10/16/2020 02:00:00,19.033498128,23.05005472,-9999.0,59.1314,4.2322836,4.21,313.58,49.8524,1017.438,59.126,-17966.2
10/16/2020 02:20:00,17.38959264,24.078734848,-9999.0,59.0954,4.4619424,4.04,317.77,49.7426,1017.625,59.09,-17966.2
